Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Food & Beverages,Inflight Entertainment,Distance,Is_stop,Seat Type,Type Of Traveller,Flight Length,Recommended
1.0,3.0,4.0,2.0,2.0,,2166.1013466838585,0,Economy Class,Business,Middle-Haul,1.0
4.0,5.0,5.0,4.0,5.0,,1350.4118466603381,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,5.0,4.0,3.0,4.0,1.0,2225.1427440974285,0,Economy Class,Couple Leisure,Middle-Haul,1.0
,,1.0,1.0,,,2395.0466154319115,0,Economy Class,Solo Leisure,Middle-Haul,0.0
3.0,2.0,5.0,4.0,3.0,,1120.1103105870184,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,3.0,3.0,5.0,,2375.289051965317,0,Economy Class,Couple Leisure,Middle-Haul,1.0
3.0,5.0,1.0,1.0,,,2395.0466154319115,0,Economy Class,Couple Leisure,Middle-Haul,0.0
3.0,4.0,1.0,2.0,,,2395.0466154319115,0,Economy Class,Family Leisure,Middle-Haul,0.0
4.0,5.0,4.0,5.0,5.0,,1401.1120437219417,1,Business Class,Family Leisure,Middle-Haul,1.0
3.0,4.0,1.0,3.0,4.0,,2090.3756829761683,0,Economy Class,Family Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,2.0,1656.8631481604818,0,Economy Class,Family Leisure,Middle-Haul,1.0
3.0,4.0,3.0,4.0,4.0,,2375.289051965317,0,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,,2137.886105251129,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,5.0,4.0,5.0,2.0,1919.3664477655243,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,4.0,3.0,5.0,5.0,2375.289051965317,0,Economy Class,Couple Leisure,Middle-Haul,1.0
3.0,5.0,5.0,4.0,4.0,,1919.3664477655243,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,2.0,1.0,1.0,4.0,,2395.0466154319115,0,Economy Class,Business,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,,158.20180703061766,0,Economy Class,Solo Leisure,Short-Haul,1.0
1.0,2.0,1.0,1.0,2.0,1.0,2345.211184025616,0,Business Class,Business,Middle-Haul,0.0
5.0,5.0,5.0,5.0,3.0,,275.5616273404138,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,4.0,2.0,4.0,4.0,,232.7729895871047,0,Economy Class,Couple Leisure,Short-Haul,1.0
4.0,5.0,4.0,5.0,5.0,2.0,1201.2140378095446,0,Business Class,Couple Leisure,Middle-Haul,1.0
3.0,5.0,5.0,5.0,5.0,3.0,1053.4726048757093,0,Economy Class,Family Leisure,Middle-Haul,1.0
2.0,5.0,5.0,5.0,5.0,,1497.0725379270978,0,Economy Class,Couple Leisure,Middle-Haul,1.0
,,,1.0,,,2514.9851302232023,1,Economy Class,Couple Leisure,Middle-Haul,0.0
4.0,3.0,1.0,2.0,,,2375.289051965317,0,Economy Class,Solo Leisure,Middle-Haul,0.0
,,,1.0,,,333.1530004256283,0,Economy Class,Family Leisure,Short-Haul,0.0
5.0,5.0,5.0,5.0,5.0,4.0,2024.2335424143541,0,Business Class,Couple Leisure,Middle-Haul,1.0
3.0,5.0,5.0,5.0,5.0,1.0,1423.2065262068238,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,5.0,3.0,2.0,1.0,,1618.7642295335904,0,Economy Class,Family Leisure,Middle-Haul,1.0
1.0,2.0,1.0,1.0,1.0,,743.6149704975809,0,Economy Class,Business,Short-Haul,0.0
2.0,4.0,1.0,1.0,3.0,,2395.0466154319115,0,Economy Class,Couple Leisure,Middle-Haul,0.0
5.0,5.0,5.0,4.0,5.0,,886.2596285762371,1,Economy Class,Solo Leisure,Short-Haul,1.0
2.0,3.0,4.0,3.0,2.0,,875.0455471519846,0,Economy Class,Solo Leisure,Short-Haul,0.0
3.0,5.0,4.0,4.0,4.0,,1053.4726048757093,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,5.0,5.0,5.0,4.0,1.0,1813.606812254309,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,4.0,4.0,4.0,3.0,3.0,2137.886105251129,0,Economy Class,Couple Leisure,Middle-Haul,1.0
4.0,5.0,1.0,5.0,5.0,,1801.3096494529202,0,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,1.0,1.0,1.0,1.0,1.0,319.2158356372218,0,Economy Class,Business,Short-Haul,0.0
3.0,4.0,4.0,4.0,4.0,,743.6149704975809,0,Business Class,Couple Leisure,Short-Haul,1.0
4.0,5.0,5.0,4.0,4.0,,1984.4015834953295,0,Economy Class,Business,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,,3258.804607417398,1,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,3.0,1.0,2.0,1.0,,1120.1103105870184,0,Business Class,Business,Middle-Haul,0.0
5.0,4.0,5.0,4.0,4.0,3.0,2216.362087758135,1,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,,2395.0466154319115,0,Economy Class,Business,Middle-Haul,1.0
4.0,5.0,4.0,3.0,1.0,,949.2514148360628,0,Economy Class,Business,Short-Haul,0.0
3.0,5.0,3.0,4.0,4.0,2.0,1618.7642295335904,0,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,5.0,1.0,1.0,,,1489.4989276025015,1,Economy Class,Solo Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,5.0,1441.3110172326344,1,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,4.0,4.0,3.0,1.0,,949.2514148360628,0,Economy Class,Couple Leisure,Short-Haul,0.0
5.0,5.0,5.0,5.0,5.0,,1282.6070152243535,0,Economy Class,Business,Middle-Haul,1.0
4.0,5.0,3.0,1.0,2.0,,2166.1013466838585,0,Economy Class,Family Leisure,Middle-Haul,1.0
3.0,2.0,4.0,3.0,2.0,,2412.9923073321484,0,Business Class,Business,Middle-Haul,1.0
2.0,4.0,1.0,2.0,4.0,,302.7087435940903,0,Economy Class,Family Leisure,Short-Haul,0.0
2.0,3.0,2.0,2.0,2.0,,1529.5102342412047,0,Economy Class,Solo Leisure,Middle-Haul,0.0
3.0,4.0,3.0,4.0,3.0,2.0,2294.818797511533,1,Economy Class,Business,Middle-Haul,1.0
4.0,5.0,5.0,3.0,5.0,,2099.09436860138,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,2.0,2407.396192778088,0,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,2.0,3.0,3.0,2.0,,380.47065978261793,0,Economy Class,Business,Short-Haul,1.0
4.0,5.0,4.0,5.0,4.0,,524.5493857167571,0,Economy Class,Family Leisure,Short-Haul,1.0
4.0,4.0,1.0,4.0,4.0,,1497.0725379270978,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,2.0,1.0,1.0,1.0,,1529.5102342412047,0,Economy Class,Solo Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,,2407.396192778088,0,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,5.0,4.0,4.0,3.0,879.0359805592217,1,Economy Class,Family Leisure,Short-Haul,1.0
4.0,5.0,4.0,4.0,5.0,3.0,2395.0466154319115,0,Business Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,3.0,2395.0466154319115,0,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,3.0,5.0,3.0,2395.0466154319115,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,4.0,949.2514148360628,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,5.0,5.0,5.0,5.0,3.0,1803.3683602719495,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,4.0,5.0,4.0,3.0,1601.7074751867497,1,Business Class,Business,Middle-Haul,1.0
5.0,5.0,4.0,5.0,5.0,,1372.8445106587005,0,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,4.0,5.0,4.0,,1971.757090611214,1,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,4.0,5.0,5.0,5.0,2468.4806975557276,0,Economy Class,Couple Leisure,Middle-Haul,1.0
4.0,5.0,4.0,5.0,4.0,1.0,2296.4299954089306,1,Business Class,Business,Middle-Haul,1.0
1.0,4.0,4.0,3.0,3.0,2.0,1808.841098103314,0,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,1.0,5.0,5.0,1.0,494.5920913139437,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,5.0,4.0,4.0,5.0,,2407.396192778088,0,Business Class,Business,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,,2539.141381640325,1,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,2.0,2.0,1.0,1.0,1.0,2554.256314506257,0,Economy Class,Solo Leisure,Middle-Haul,0.0
